,Date,User,Tweet
18,2023-04-11 09:19:07+00:00,PerlisPermai,"KPDN Perlis mematahkan aktiviti penyelewengan minyak diesel tanpa subsidi dengan merampas sebanyak 26,000 liter bahan bakar itu menerusi Ops Tiris yang dilaksanakan di sebuah premis sekitar kawasan perindustrian Padang Besar.

Artikel penuh : https://t.co/L9s5Mn50JL https://t.co/DnHEIQOIus"
19,2023-04-11 09:15:00+00:00,hariankompas,"Kementerian Energi dan Sumber Daya Mineral memastikan pasokan bahan bakar minyak, gas, dan tenaga listrik aman menghadapi #Lebaran2023. Untuk bahan bakar minyak, misalnya, pasokan dijamin hingga di atas 16 hari ke depan.

https://t.co/s2wg4c8rE2

#JabatErat #AdadiKompas"
20,2023-04-11 07:06:20+00:00,CintaTransmisi,"5. Kontaminasi 
Hal ini dapat terjadi ketika tabung air atau tangki bahan bakar terkontaminasi dengan bahan kimia lain seperti deterjen atau minyak."
21,2023-04-11 06:53:27+00:00,Rusman855,@energitodayID @pertamina @KemenBUMN Melalui pembentukan satgas untuk kelancaran distribusi bahan bakar minyak dan LPG kita yakin kebutuhan masyarakat akan terpenuhi selama bulan suci Ramadhan dan Idul Fitri
22,2023-04-11 06:30:00+00:00,hariankompas,"Konsumsi bahan bakar minyak dan elpiji di Nusa Tenggara Barat diperkirakan meningkat pada momen Lebaran 2023. Untuk mengantisipasinya, Pertamina bakal menambah pasokannya hingga 15 persen.

https://t.co/XZIn8bnev3

#JabatErat #Lebaran2023 #AdadiKompas"
23,2023-04-11 06:16:09+00:00,jazadi,@elisa_jkt Di sini tidak berlaku logika macam itu Ci. Panen dan stok aman tak berarti berhenti impor. Harga minyak mentah dunia dan bahan bakar di negara lain turun tak usah kaget BBM di DN justru naik. Atau ekspor CPO dipangkas minyak goreng di DN justru mahal dan langka 😃
24,2023-04-11 06:09:57+00:00,NaziaWana,@energitodayID @pertamina @KemenBUMN Satgas khusus dibentuk oleh pertamina untuk menjaga kelancaran distribusi bahan bakar minyak dan lpg..kerja bagus pertamina..
25,2023-04-11 05:02:30+00:00,humaspoldajbr,"Aiptu Budiana dan Aipda Ana Fitriana, Dua anggota BM 4 Sat Lantas Polres Kota Sukabumi membawakan Dua kompan kecil berisikan BBM (Bahan Bakar Minyak) jenis Pertalite kepada salah seorang pengemudi minibus yang kehabisan bahan bakar di kawasan jalan RA. Kosasih Cikole Kota
. https://t.co/FOvmg75lbN"
26,2023-04-11 04:39:35+00:00,Metro_TV,"Menteri BUMN Erick Thohir memastikan persedian bahan bakar minyak (BBM) aman selama masa mudik lebaran. Pertamina juga telah menyiapkan beberapa layanan untuk memudahkan memperoleh BBM.

#erickthohir #mudiklebaran #lebaran2023 https://t.co/RwMj4L4rKy"
27,2023-04-11 03:00:08+00:00,ptm_patraniaga,"Bersinergi dengan @KementerianESDM &amp; @bphmigas, Pertamina Patra Niaga memastikan ketersediaan &amp; distribusi Bahan Bakar Minyak (BBM), LPG dan Avtur aman selama periode Ramadan dan Idul Fitri 1444 H.

#EnergiPenuhBerkah 
#PertaminaPatraNiaga 
#EnergizingYou https://t.co/4c2icUObxn"
28,2023-04-11 00:33:31+00:00,voidotid,Pertamina Patra Niaga menambah armada motoris pembawa Bahan Bakar Minyak (BBM) di sepanjang jalur mudik 2023. https://t.co/wQFDAwL7Xm
29,2023-04-10 15:13:32+00:00,voidotid,PT Pertamina Patra Niaga memastikan pasokan Bahan Bakar Minyak (BBM) untuk kebutuhan pembangkit listrik di wilayah Banten terpenuhi selama periode Ramadan dan I... https://t.co/cSb7xCczKh
30,2023-04-10 13:38:27+00:00,JeffnSats,"ngakak abiss xixixixi, bahan bakar minyak vs jabentod berantem, meanwhile Bible yang like 3 akun bubble....bfffrrr antis rn : maybe he just likes and doesn't use glasses💀💀"
31,2023-04-10 11:46:22+00:00,puzpuzro,Kabarnya Arab sudah menjual minyak nya pada US untuk bahan bakar alusista perang. Karena Arab ingin membangun kota modern (lupa namanya)
32,2023-04-10 11:16:11+00:00,_pln_id,"Terpenuhinya stok batu bara, gas dan bahan bakar minyak (BBM) di setiap pembangkit membuat PLN yakin pasokan listrik aman dan andal agar masyarakat dapat menikmati libur perayaan Idul Fitri 1444 H dengan nyaman. 

#PLNSiagaIdulFitri1444H #EnergiPrimerIdulFitriAman #PLN #PLNPeduli https://t.co/1BjDWdK3rZ"
33,2023-04-10 11:09:43+00:00,kompascom,"Unggahan bernarasi anggota Babinsa di OKI, Sumsel menggagalkan aksi pembajakan kapal pengangkut bahan bakar minyak (BBM) ramai di media sosial. https://t.co/bnMoH8ZIEG"
34,2023-04-10 11:04:02+00:00,kompasmuda,"Konsumsi bahan bakar minyak dan elpiji di NTB pada momen Idul Fitri 2023 meningkat. Oleh karena itu, PT Pertamina menambah pasokan ke wilayah itu hingga 15 persen.
https://t.co/840wdumD2c

#Nusantara #AdadiKompas"
35,2023-04-10 10:53:49+00:00,KompasKlasika,"Konsumsi bahan bakar minyak dan elpiji di NTB pada momen Idul Fitri 2023 meningkat. Oleh karena itu, PT Pertamina menambah pasokan ke wilayah itu hingga 15 persen. 
https://t.co/vhWSs3Dx3R

#Nusantara #AdadiKompas"
36,2023-04-10 10:53:15+00:00,hariankompas,"Konsumsi bahan bakar minyak dan elpiji di NTB pada momen Idul Fitri 2023 meningkat. Oleh karena itu, PT Pertamina menambah pasokan ke wilayah itu hingga 15 persen. 

https://t.co/3FoZKpNA7X

#Nusantara #AdadiKompas"
37,2023-04-10 07:53:30+00:00,kring_pajak,"@mrjnsn90 Bagi pengusaha lain yg menjual kembali pembelian BBM dari Pertamina tdk perlu melakukan pemungutan PPN (tdk menerbitkan FP), sebagaimana diatur dalam Surat Edaran Dirjen Pajak yg diterbitkan Tahun 1993 tentang Pengenaan PPN atas Bahan Bakar Minyak (BBM).

(5/7)"
38,2023-04-10 07:08:27+00:00,PolsekMajenang6,"Pada hari Senin  tanggal 09 April 2023 pukul 11.00 WIB s.d.12.00WIB, Polsek Majenang telah melaksanakan Pengecekan stok Bahan Bakar Minyak di SPBU di Wilayah Kecamatan Majenang, dalam rangka Ramadhan 1444 H https://t.co/hHVETQUGk3"
39,2023-04-10 07:08:22+00:00,PolsekMajenang6,"Pada hari Senin  tanggal 09 April 2023 pukul 11.00 WIB s.d.12.00WIB, Polsek Majenang telah melaksanakan Pengecekan stok Bahan Bakar Minyak di SPBU di Wilayah Kecamatan Majenang, dalam rangka Ramadhan 1444 H https://t.co/Ek5XpnUaNC"
40,2023-04-10 07:08:18+00:00,PolsekMajenang6,"Pada hari Senin  tanggal 09 April 2023 pukul 11.00 WIB s.d.12.00WIB, Polsek Majenang telah melaksanakan Pengecekan stok Bahan Bakar Minyak di SPBU di Wilayah Kecamatan Majenang, dalam rangka Ramadhan 1444 H https://t.co/t88YWSyZl1"
41,2023-04-10 07:08:13+00:00,PolsekMajenang6,"Pada hari Senin  tanggal 09 April 2023 pukul 11.00 WIB s.d.12.00WIB, Polsek Majenang telah melaksanakan Pengecekan stok Bahan Bakar Minyak di SPBU di Wilayah Kecamatan Majenang, dalam rangka Ramadhan 1444 H https://t.co/6PjFXLLdR1"
